Rank,Name,Year,Rating,Num_user_rating
149,Babam ve Oglum,2005,8.1,74538
150,Three Billboards Outside Ebbing| Missouri,2017,8.1,398315
151,The Gold Rush,1925,8.1,95301
152,Dial M for Murder,1954,8.1,150076
153,Chinatown,1974,8.1,281746
154,V for Vendetta,2005,8.1,995741
155,Det sjunde inseglet,1957,8.1,155488
156,No Country for Old Men,2007,8.1,815451
157,Inside Out,2015,8.1,581404
158,Warrior,2011,8.1,422140
159,Shutter Island,2010,8.1,1076744
160,The Elephant Man,1980,8.1,210953
161,Trainspotting,1996,8.1,616569
162,The Sixth Sense,1999,8.1,883583
163,The Thing,1982,8.1,353713
164,Gone with the Wind,1939,8.1,278134
165,Jurassic Park,1993,8.1,829600
166,Room,2015,8.1,347997
167,SmultronstÃ¤llet,1957,8.1,90657
168,Blade Runner,1982,8.1,667791
169,The Bridge on the River Kwai,1957,8.1,195766
170,Finding Nemo,2003,8.1,916454
171,Stalker,1979,8.1,108545
172,On the Waterfront,1954,8.1,136053
173,The Third Man,1949,8.1,152917
174,The Truman Show,1998,8.1,892595
175,Kill Bill: Vol. 1,2003,8.1,963426
176,Fargo,1996,8.1,592325
177,Gran Torino,2008,8.1,699152
178,TÃ´kyÃ´ monogatari,1953,8.1,48616
179,The Deer Hunter,1978,8.1,299869
180,Salinui chueok,2003,8.1,122242
181,Relatos salvajes,2014,8.1,165850
182,Klaus,2019,8.1,68475
183,Eskiya,1996,8.1,60463
184,Andhadhun,2018,8.1,60830
185,Mary and Max,2009,8.1,158777
186,The Big Lebowski,1998,8.1,700633
187,In the Name of the Father,1993,8.1,149835
188,Gone Girl,2014,8.1,817586
189,Hacksaw Ridge,2016,8.1,407525
190,The Grand Budapest Hotel,2014,8.1,675856
191,To Be or Not to Be,1942,8.1,25471
192,Persona,1966,8.1,95811
193,Ford v Ferrari: The IMAX 2D Experience,2019,8.1,214528
194,Before Sunrise,1995,8.1,256202
195,Catch Me If You Can,2002,8.1,782628
196,The General,1926,8.1,77029
197,How to Train Your Dragon,2010,8.1,643087
198,Mr. Smith Goes to Washington,1939,8.1,102912
199,Sherlock Jr.,1924,8.1,38081
200,Prisoners,2013,8.1,568998
201,12 Years a Slave,2013,8.1,614290
202,Cool Hand Luke,1967,8.1,156076
203,Mad Max: Fury Road,2015,8.1,838730
204,Barry Lyndon,1975,8.1,142202
205,Le salaire de la peur,1953,8.1,51729
206,Network,1976,8.1,139399
207,Stand by Me,1986,8.1,350139
208,Into the Wild,2007,8.1,551201
209,Million Dollar Baby,2004,8.1,614674
210,Life of Brian,1979,8.1,354119
211,Hachi: A Dog's Tale,2009,8.1,241017
212,Ben-Hur,1959,8.1,211993
213,Platoon,1986,8.1,368750
214,Rush,2013,8.1,416209
